transaction_id,label,campaign_id,timestamp,merchant_id,card_fingerprint,bin,amount,device_fingerprint,ip_signature,auth_outcome
d1cdeaea-c2aa-4523-8470-2abf14b6d02b,0,,2026-08-26 00:00:01.908089,M0255,242514329e2dc90b,455738,111.73,ee55077a05e1e046,dc2b264d84843802,approved
69a3be59-fc68-4d72-aa76-98b2d0752d2a,0,,2026-08-26 00:00:02.603660,M0098,52f8f92ec1607a6f,406956,45.68,d935782a2e551bfd,62e473718afa378e,approved
b9aa364a-3ff6-4191-b09b-d2172a76ef0c,0,,2026-08-26 00:00:02.611816,M0125,c274f091620ec9d7,556345,107.42,541f54d16a94196d,3108c3b5ae6a6b00,approved
fded2ecf-a642-446d-bdce-8d0613bb7955,0,,2026-08-26 00:00:04.563361,M0345,410f2fa3320e5622,407811,506.2,6af4ab6d6afdc04e,78621e40be81d09a,approved
6af406e4-5a49-4148-a712-05f938d0666b,0,,2026-08-26 00:00:07.028792,M0007,b040d2920a6aab66,412012,30.34,8b38d321c2c70d82,5d56828ebf9f66ed,approved
80091bb5-08f0-4f2a-8560-52135f79f3be,0,,2026-08-26 00:00:10.069271,M0122,296c19c1cbad8761,504593,94.84,265bf7bbcf77540e,96133bf279fc36c5,approved
5194fc02-e740-4684-b09a-efb72395cb4d,0,,2026-08-26 00:00:10.869133,M0370,9ad246907fec16ea,533085,164.18,d15fab04d665f6f9,b189191c244e3471,approved
51af27bb-f8eb-4359-be53-405126e8b85f,0,,2026-08-26 00:00:14.594127,M0056,1ee1cf3e59d4d4a6,426793,41.54,bf91cb64368258bc,51fb1bb70166e345,approved
a15ed660-c5ad-4829-9bc9-c1671a4dd778,0,,2026-08-26 00:00:15.013744,M0155,16e72cecb4eb10a4,414200,150.27,88205d8081217a8f,f063168f9cc36184,approved
b1f6ff3a-26db-45cb-8bca-8fc7005d35e8,0,,2026-08-26 00:00:18.355886,M0004,8d49726f84ba5f51,522427,225.47,5646b69f6f020772,7a999c0be2e7e1bb,approved
d4dc997c-581c-421b-9f58-fcaa0d04b3e4,0,,2026-08-26 00:00:18.629768,M0053,a63a5b9768c500a7,411390,297.93,2d6a6c07f7d2f88a,8683189762725874,approved
347d727b-1f67-4599-ab00-ab307bfb2209,0,,2026-08-26 00:00:20.828542,M0018,809253daa6c69b33,554221,146.1,a3a3bacf4f66310f,4c941565eef13361,approved
f48acb06-7e63-47c7-9083-f4eb998fe014,0,,2026-08-26 00:00:24.957394,M0278,b193199076c2e099,521275,1989.54,ff7d4df39510be6e,0af3f1c81fd84abd,approved
cd498a96-6e72-4720-ac33-711522752a8f,0,,2026-08-26 00:00:24.990830,M0087,564729c784260a4e,426868,150.02,3d5bb98352933457,4513a7867fd22523,declined
46d1cfb4-eb93-4dca-8049-195b73e3e945,0,,2026-08-26 00:00:30.531561,M0301,590308b604a654b8,481714,275.2,20d7c33007a3e6bd,509be9c92874473d,declined
93802dc4-9c5e-41d0-9678-ee467a7687cc,0,,2026-08-26 00:00:30.732768,M0337,dd054dac64f8cd68,545207,2542.87,09932ed9a9051652,b3ea4622a4d83111,approved
35d260d7-f2dc-40e2-a0cb-a7a816dbce1b,0,,2026-08-26 00:00:37.084810,M0052,982645557fdf8511,423831,101.28,660d948a6936cffb,20d12b6734764a44,approved
adbabebd-6563-4eb7-9a03-3fdb7287a3f2,0,,2026-08-26 00:00:38.843451,M0064,fdd2cf6f64bafc76,424561,270.14,9ba6d2eac58d745a,983b3bfee0b5c855,approved
23b1d023-fa8f-4773-b930-b5f5fbfbcd15,0,,2026-08-26 00:00:40.805635,M0227,743d4e828552ec4a,456160,148.15,d3838f2c01e5b7f0,6dccb678e4c66ab6,approved
87c7b8c9-4c03-4aa1-8805-e54b2a4c1801,0,,2026-08-26 00:00:41.292823,M0103,160aec5524f3e90e,486619,356.22,0ff5f2d446b8fa65,bf69a62914120f6e,approved
8bd229a5-ee25-40ae-a2d6-7a92b07ab352,0,,2026-08-26 00:00:44.182940,M0102,f36c8c0b3a9db139,556208,470.14,4515fd1e495239c0,a0d3298e38f5c3a9,approved
16bbc618-96b2-4c24-beba-0862b00ce7b5,0,,2026-08-26 00:00:45.905078,M0060,5cfc045f03d95e70,511038,548.01,ef55f03fae252c30,dbe01a1f1f8967b8,approved
d4b7533d-31e3-47e9-913d-eed3752f0e08,0,,2026-08-26 00:00:46.491173,M0148,69f93b609719e5c8,420916,387.14,a4174320ef6ef83c,fb8467b296a715ca,approved
4f8eaa3a-f86c-4ff9-902c-d23bb645724e,0,,2026-08-26 00:00:46.882628,M0358,901caa2b4128bd38,542964,281.23,0f4e37aabefd2a76,e91047b612feaa7f,approved
f0a98ace-7aa9-4284-a929-6334af4388a3,0,,2026-08-26 00:00:47.396678,M0175,ac91ad6b6d88c36b,516164,2170.23,38dfc5115a494499,d73dd7a3519de4f9,declined
e455e5bf-7d39-4696-aca7-58c8fc0ad73f,0,,2026-08-26 00:00:48.459031,M0193,a715c753427af853,436603,58.17,50ab699d48fc09d2,478efcbffd739cf2,approved
7716ca65-582d-48e2-b782-2a16450e71dc,0,,2026-08-26 00:00:49.606324,M0352,628a8ff72cff1f9e,455307,99.01,89236b76a2cfef26,4f54f2da464e2780,approved
a2bacfbe-1496-4180-9d16-b8ec1dda1dd2,0,,2026-08-26 00:00:53.704244,M0155,674eebcb25af6e7e,541289,220.52,cfdce602715a3863,1e8738deda760627,approved
1a421c38-ae10-4b4e-bf04-367c7291ba0f,0,,2026-08-26 00:00:56.042091,M0349,2587da0d25fb2511,437452,674.84,1c91219a6d71f35c,ce8421d6fdb48281,approved
bd1c4522-7098-43ca-8c29-8d666aaaea28,0,,2026-08-26 00:00:58.237770,M0084,b5d1a8c09fbd7956,463700,831.29,db750513ed03ff6f,8b48bc59ca2482bf,approved
70c4732f-3048-4653-b6b5-60178db32c04,0,,2026-08-26 00:00:58.593459,M0112,c839c3dbbaa94c15,454921,825.39,03372abd9a3222e7,d58d33810eb7558b,approved
